Sno,Part A,Part B,Start Time,End Time,After AUW,Verdict
"1, test",19.90,8.05,28/6/26 6:37:00 PM,12h,,"Lots of bubbles, need to do something about that. Came out sticky, was a little hard to de mould. The color is great. Also did not fill completely, one low spot. Needs some more time to dry, still sot of coming onto your hands. "
"2, test",21.27,8.68,3/7/26 11:20:00 AM,18h,,"Still lots of bubbles, messed up on the pouring leading to a bad spot (Do not flip mould)"
3. test,24.59,9.97,4/7/26 1:50:00 PM,21h 30m,15.75g,"Almost perfect, very few bubbles. "
"4,5",27.8,11.32,5/7/26 3:50:00 PM,22h,"15g, 16.08g","Mix just a little more. Pour slower at the end using the syringe. Can also wait a while, be patient. Also tilt mould I think.  "
"6,7",30,12.2,8/7/25 4:20:00 PM,20h,"15.66g, 15.72g",
